iter	Passed	Remaining
0	0	62
1	1	55
2	1	52
3	2	48
4	2	49
5	3	48
6	3	47
7	4	46
8	4	46
9	5	45
10	5	44
11	5	43
12	6	43
13	6	42
14	7	42
15	7	41
16	8	40
17	8	40
18	9	39
19	9	39
20	10	38
21	10	38
22	11	37
23	11	37
24	12	36
25	12	35
26	13	35
27	13	34
28	14	34
29	14	33
30	15	33
31	15	32
32	16	32
33	16	32
34	16	31
35	17	31
36	18	30
37	18	30
38	19	29
39	19	29
40	20	28
41	20	28
42	20	27
43	21	27
44	21	26
45	22	26
46	22	25
47	23	25
48	23	24
49	24	24
50	24	23
51	25	23
52	26	23
53	26	22
54	26	21
55	27	21
56	27	21
57	28	20
58	29	20
59	29	19
60	30	19
61	30	18
62	31	18
63	31	17
64	32	17
65	32	16
66	33	16
67	33	15
68	34	15
69	34	14
70	35	14
71	36	14
72	36	13
73	37	13
74	37	12
75	38	12
76	38	11
77	39	11
78	39	10
79	40	10
80	40	9
81	41	9
82	41	8
83	42	8
84	42	7
85	43	7
86	43	6
87	44	6
88	45	5
89	45	5
90	46	4
91	46	4
92	47	3
93	47	3
94	48	2
95	48	2
96	49	1
97	49	1
98	50	0
99	50	0
